===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-05-17 16:55:53
count workspace : c:\Users\bigol\Desktop\repos\dh-unit\Project\Assets
total files : 3261
total code lines : 610316
total comment lines : 13463
total blank lines : 12214

Cirrus.meta, code is 8, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\HideGroupAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\HideInCreationWindowAttribute.cs, code is 14, comment is 1, blank is 1.
Cirrus\Editor_\CustomAttributes\HideInCreationWindowAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\HideInPropertiesAttribute.cs, code is 13, comment is 4, blank is 3.
Cirrus\Editor_\CustomAttributes\HideInPropertiesAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\HideTypePicker.cs, code is 14, comment is 1, blank is 2.
Cirrus\Editor_\CustomAttributes\HideTypePicker.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\IgnoreCustomSerializationAttribute.cs, code is 11, comment is 1, blank is 2.
Cirrus\Editor_\CustomAttributes\IgnoreCustomSerializationAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\InspectorReadOnlyAttribute.cs, code is 13, comment is 1, blank is 4.
Cirrus\Editor_\CustomAttributes\InspectorReadOnlyAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\ObjectSelectorAttribute.cs, code is 15, comment is 1, blank is 5.
Cirrus\Editor_\CustomAttributes\ObjectSelectorAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\OnlyDerivedTypesAttribute.cs, code is 18, comment is 1, blank is 5.
Cirrus\Editor_\CustomAttributes\OnlyDerivedTypesAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\ReadonlyAttribute.cs, code is 7, comment is 0, blank is 1.
Cirrus\Editor_\CustomAttributes\ReadonlyAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\RenameAttribute.cs, code is 143, comment is 13, blank is 30.
Cirrus\Editor_\CustomAttributes\RenameAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\RequiredAttribute.cs, code is 12, comment is 0, blank is 2.
Cirrus\Editor_\CustomAttributes\RequiredAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\SerializedObjectAttribute.cs, code is 10, comment is 5, blank is 3.
Cirrus\Editor_\CustomAttributes\SerializedObjectAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\CustomAttributes\SummaryAttribute.cs, code is 16, comment is 3, blank is 2.
Cirrus\Editor_\CustomAttributes\SummaryAttribute.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\EnumFlagAttributePropertyDrawer.cs, code is 24, comment is 0, blank is 5.
Cirrus\Editor_\EnumFlagAttributePropertyDrawer.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\InspectorReadOnlyAttributeEditor.cs, code is 20, comment is 0, blank is 3.
Cirrus\Editor_\InspectorReadOnlyAttributeEditor.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\Note.cs, code is 10, comment is 0, blank is 2.
Cirrus\Editor_\Note.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\NoteEditor.cs, code is 64, comment is 0, blank is 13.
Cirrus\Editor_\NoteEditor.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\ObjectSelectorDrawer.cs, code is 52, comment is 2, blank is 17.
Cirrus\Editor_\ObjectSelectorDrawer.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\ReadOnlyAttributeDrawer.cs, code is 19, comment is 0, blank is 2.
Cirrus\Editor_\ReadOnlyAttributeDrawer.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\RefEditorGUI.cs, code is 22, comment is 0, blank is 5.
Cirrus\Editor_\RefEditorGUI.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\RequiredAttributeEditor.cs, code is 29, comment is 0, blank is 7.
Cirrus\Editor_\RequiredAttributeEditor.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\ScriptableObjectContextEditor.cs, code is 67, comment is 32, blank is 18.
Cirrus\Editor_\ScriptableObjectContextEditor.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\SerializedObjectAttributeEditor.cs, code is 13, comment is 0, blank is 1.
Cirrus\Editor_\SerializedObjectAttributeEditor.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\TurnOnGizmos.cs, code is 49, comment is 0, blank is 15.
Cirrus\Editor_\TurnOnGizmos.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Editor_\Util.cs, code is 40, comment is 2, blank is 16.
Cirrus\Editor_\Util.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Extensions.meta, code is 8, comment is 0, blank is 0.
Cirrus\Extensions\SerializedPropertyExtensions.cs, code is 33, comment is 1, blank is 2.
Cirrus\Extensions\SerializedPropertyExtensions.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Extensions\StringExtensions.cs, code is 239, comment is 0, blank is 66.
Cirrus\Extensions\StringExtensions.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\FSM.meta, code is 8, comment is 0, blank is 0.
Cirrus\FSM\Idle.cs, code is 17, comment is 0, blank is 4.
Cirrus\FSM\Idle.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\FSM\Machine.cs, code is 151, comment is 10, blank is 44.
Cirrus\FSM\Machine.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\FSM\Resource.cs, code is 15, comment is 0, blank is 3.
Cirrus\FSM\Resource.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\FSM\State.cs, code is 22, comment is 0, blank is 6.
Cirrus\FSM\State.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\MultiTag..cs, code is 27, comment is 0, blank is 8.
Cirrus\MultiTag..cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric.meta, code is 8, comment is 0, blank is 0.
Cirrus\Numeric\AddOperation.cs, code is 23, comment is 0, blank is 4.
Cirrus\Numeric\AddOperation.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\AssetNumber.cs, code is 15, comment is 1, blank is 3.
Cirrus\Numeric\AssetNumber.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\AssetRange.cs, code is 41, comment is 0, blank is 14.
Cirrus\Numeric\AssetRange.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\Chance.cs, code is 19, comment is 0, blank is 3.
Cirrus\Numeric\Chance.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\Comparison.cs, code is 48, comment is 0, blank is 16.
Cirrus\Numeric\Comparison.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\CustomOperation.cs, code is 38, comment is 0, blank is 13.
Cirrus\Numeric\CustomOperation.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\MultiplyOperation.cs, code is 23, comment is 0, blank is 4.
Cirrus\Numeric\MultiplyOperation.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\Number.cs, code is 96, comment is 2, blank is 31.
Cirrus\Numeric\Number.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\Operation.cs, code is 14, comment is 0, blank is 2.
Cirrus\Numeric\Operation.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Numeric\Operation.Negative.asset, code is 15, comment is 0, blank is 0.
Cirrus\Numeric\Operation.Negative.asset.meta, code is 8, comment is 0, blank is 0.
Cirrus\Numeric\Operation.Zero.asset, code is 15, comment is 0, blank is 0.
Cirrus\Numeric\Operation.Zero.asset.meta, code is 8, comment is 0, blank is 0.
Cirrus\Numeric\Range.cs, code is 97, comment is 0, blank is 24.
Cirrus\Numeric\Range.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\SimpleTag.cs, code is 18, comment is 0, blank is 2.
Cirrus\SimpleTag.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Tag.cs, code is 30, comment is 0, blank is 7.
Cirrus\Tag.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\UI.meta, code is 8, comment is 0, blank is 0.
Cirrus\UI\Counter.cs, code is 31, comment is 0, blank is 10.
Cirrus\UI\Counter.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\UI\Counter.prefab, code is 117, comment is 0, blank is 0.
Cirrus\UI\Counter.prefab.meta, code is 7, comment is 0, blank is 0.
Cirrus\Utils.meta, code is 8, comment is 0, blank is 0.
Cirrus\Utils\Color.cs, code is 35, comment is 0, blank is 8.
Cirrus\Utils\Color.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Utils\Enum.cs, code is 14, comment is 0, blank is 2.
Cirrus\Utils\Enum.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Utils\Flags.cs, code is 53, comment is 11, blank is 12.
Cirrus\Utils\Flags.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Utils\Misc.cs, code is 95, comment is 0, blank is 14.
Cirrus\Utils\Misc.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Utils\ScriptableObject.cs, code is 29, comment is 1, blank is 7.
Cirrus\Utils\ScriptableObject.cs.meta, code is 11, comment is 0, blank is 0.
Cirrus\Utils\Vectors.cs, code is 27, comment is 0, blank is 6.
Cirrus\Utils\Vectors.cs.meta, code is 11, comment is 0, blank is 0.
Debug.meta, code is 8, comment is 0, blank is 0.
Debug\Blue.mat, code is 77, comment is 0, blank is 0.
Debug\Blue.mat.meta, code is 8, comment is 0, blank is 0.
Debug\MovingPlatform (8).prefab, code is 342, comment is 0, blank is 0.
Debug\MovingPlatform (8).prefab.meta, code is 7, comment is 0, blank is 0.
Debug\untitled2.obj, code is 166, comment is 64, blank is 0.
Debug\untitled2.obj.meta, code is 99, comment is 2, blank is 0.
ARPG.meta, code is 8, comment is 0, blank is 0.
ARPG\Actions.meta, code is 8, comment is 0, blank is 0.
ARPG\Actions\BaseEffect.cs, code is 133, comment is 12, blank is 60.
ARPG\Actions\BaseEffect.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Actions\GlobalReaction.cs, code is 1, comment is 24, blank is 5.
ARPG\Actions\GlobalReaction.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Actions\LogMessage.cs, code is 14, comment is 0, blank is 2.
ARPG\Actions\LogMessage.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Actions\MultiEffect.cs, code is 62, comment is 0, blank is 18.
ARPG\Actions\MultiEffect.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Cameras.meta, code is 8, comment is 0, blank is 0.
ARPG\Cameras\Camera.prefab, code is 94, comment is 0, blank is 0.
ARPG\Cameras\Camera.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Cameras\CameraFollow.cs, code is 77, comment is 12, blank is 44.
ARPG\Cameras\CameraFollow.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Cameras\MainCamera.prefab, code is 89, comment is 0, blank is 0.
ARPG\Cameras\MainCamera.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Clock.cs, code is 15, comment is 5, blank is 7.
ARPG\Clock.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Clock.prefab, code is 45, comment is 0, blank is 0.
ARPG\Clock.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Conditions.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\ANDCondition.cs, code is 32, comment is 0, blank is 8.
ARPG\Conditions\ANDCondition.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\BaseCondition.cs, code is 47, comment is 6, blank is 16.
ARPG\Conditions\BaseCondition.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\BaseListener.cs, code is 1, comment is 10, blank is 3.
ARPG\Conditions\BaseListener.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\ChanceCondition.cs, code is 15, comment is 0, blank is 2.
ARPG\Conditions\ChanceCondition.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\ColliderListener.cs, code is 1, comment is 45, blank is 14.
ARPG\Conditions\ColliderListener.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\Condition.FALSE.asset, code is 14, comment is 0, blank is 0.
ARPG\Conditions\Condition.FALSE.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.10.asset, code is 15, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.10.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.25.asset, code is 15, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.25.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.5.asset, code is 15, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.5.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.50.asset, code is 15, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.50.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.75.asset, code is 15, comment is 0, blank is 0.
ARPG\Conditions\Condition.Random.75.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\Condition.TRUE.asset, code is 14, comment is 0, blank is 0.
ARPG\Conditions\Condition.TRUE.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Conditions\FALSECondition.cs, code is 13, comment is 0, blank is 1.
ARPG\Conditions\FALSECondition.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\IState.cs, code is 10, comment is 0, blank is 3.
ARPG\Conditions\IState.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\ITarget.cs, code is 1, comment is 10, blank is 4.
ARPG\Conditions\ITarget.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\ORCondition.cs, code is 30, comment is 0, blank is 8.
ARPG\Conditions\ORCondition.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\SituationListener.cs, code is 1, comment is 59, blank is 34.
ARPG\Conditions\SituationListener.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Conditions\TRUECondition.cs, code is 13, comment is 0, blank is 1.
ARPG\Conditions\TRUECondition.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Controls.meta, code is 8, comment is 0, blank is 0.
ARPG\Controls\ARPG.inputsettings.asset, code is 28, comment is 0, blank is 0.
ARPG\Controls\ARPG.inputsettings.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Controls\Player.cs, code is 58, comment is 10, blank is 18.
ARPG\Controls\Player.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Controls\PlayerLobby.cs, code is 31, comment is 64, blank is 18.
ARPG\Controls\PlayerLobby.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Controls\Schema.cs, code is 329, comment is 5, blank is 3.
ARPG\Controls\Schema.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Controls\Schema.inputactions, code is 1124, comment is 0, blank is 0.
ARPG\Controls\Schema.inputactions.meta, code is 37, comment is 0, blank is 0.
ARPG\Game.cs, code is 43, comment is 6, blank is 15.
ARPG\Game.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Game.prefab, code is 92, comment is 0, blank is 0.
ARPG\Game.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\HUD.meta, code is 8, comment is 0, blank is 0.
ARPG\HUD\HUD.cs, code is 45, comment is 12, blank is 22.
ARPG\HUD\HUD.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\HUD\HUD.prefab, code is 4147, comment is 0, blank is 0.
ARPG\HUD\HUD.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\HUD\Population.cs, code is 13, comment is 0, blank is 5.
ARPG\HUD\Population.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\HUD\Sprite.Population.png, it is a binary file.
ARPG\HUD\Sprite.Population.png.meta, code is 99, comment is 0, blank is 0.
ARPG\HUD\Sprite.Skull.png, it is a binary file.
ARPG\HUD\Sprite.Skull.png.meta, code is 99, comment is 0, blank is 0.
ARPG\Levels.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\HUB.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Architecture.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Architecture\New Text Document.txt, code is 0, comment is 0, blank is 0.
ARPG\Levels\Layout\Architecture\New Text Document.txt.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Cube.prefab, code is 124, comment is 0, blank is 0.
ARPG\Levels\Layout\Cube.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Platforms.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Platforms\New Text Document.txt, code is 0, comment is 0, blank is 0.
ARPG\Levels\Layout\Platforms\New Text Document.txt.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\projectsettings.NavmEshArea.minArea.txt, code is 1, comment is 0, blank is 0.
ARPG\Levels\Layout\projectsettings.NavmEshArea.minArea.txt.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Stairs.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\cube.cut.obj, code is 32, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\cube.cut.obj.import, code is 12, comment is 0, blank is 6.
ARPG\Levels\Layout\Visuals\cube.cut.obj.import.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\cube.cut.obj.meta, code is 95, comment is 2, blank is 0.
ARPG\Levels\Layout\Visuals\cube.grass.mat.tres, code is 62, comment is 0, blank is 4.
ARPG\Levels\Layout\Visuals\cube.grass.mat.tres.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\cube.obj, code is 114, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\cube.obj.import, code is 12, comment is 0, blank is 6.
ARPG\Levels\Layout\Visuals\cube.obj.import.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\cube.obj.meta, code is 95, comment is 2, blank is 0.
ARPG\Levels\Layout\Visuals\cube.soil.mat.tres, code is 62, comment is 0, blank is 4.
ARPG\Levels\Layout\Visuals\cube.soil.mat.tres.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\grass.cube.png, it is a binary file.
ARPG\Levels\Layout\Visuals\grass.cube.png.import, code is 27, comment is 0, blank is 5.
ARPG\Levels\Layout\Visuals\grass.cube.png.import.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\grass.cube.png.meta, code is 88, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\Materials.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\Materials\grass.cube.mat, code is 77, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\Materials\grass.cube.mat.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\nav.mat.tres, code is 55, comment is 0, blank is 3.
ARPG\Levels\Layout\Visuals\nav.mat.tres.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\plane.mtl, code is 9, comment is 0, blank is 1.
ARPG\Levels\Layout\Visuals\plane.mtl.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\plane.obj, code is 12, comment is 1, blank is 0.
ARPG\Levels\Layout\Visuals\plane.obj.import, code is 12, comment is 0, blank is 6.
ARPG\Levels\Layout\Visuals\plane.obj.import.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\plane.obj.meta, code is 95, comment is 2, blank is 0.
ARPG\Levels\Layout\Visuals\soil.ground.png, it is a binary file.
ARPG\Levels\Layout\Visuals\soil.ground.png.import, code is 27, comment is 0, blank is 5.
ARPG\Levels\Layout\Visuals\soil.ground.png.import.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\soil.ground.png.meta, code is 88, comment is 0, blank is 0.
ARPG\Levels\Layout\Visuals\untitled.mtl, code is 11, comment is 0, blank is 1.
ARPG\Levels\Layout\Visuals\untitled.mtl.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.cs, code is 29, comment is 1, blank is 8.
ARPG\Levels\Level.cs.meta, code is 11, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Level1.prefab, code is 71, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Level1.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Level1.Room.prefab, code is 465, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Level1.Room.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\ProbuilderTest.unity, code is 528, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\ProbuilderTest.unity.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Resource.asset, code is 17, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Resource.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1.unity, code is 26371, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1.unity.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1\NavMesh-Layout 1.asset, it is a binary file.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1\NavMesh-Layout 1.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1\NavMesh-Layout.asset, it is a binary file.
ARPG\Levels\Level.Playground.Bernice\Room1\Room1\NavMesh-Layout.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Level.Playground.prefab, code is 71, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Level.Playground.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.1.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.1.unity, code is 126429, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.1.unity.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.1\NavMesh-Layout.asset, it is a binary file.
ARPG\Levels\Level.Playground.Oli\Room.1\NavMesh-Layout.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.2.unity, code is 127021, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.2.unity.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.prefab, code is 4545, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Room.prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Tag.Transition.Room.1.Room.2.asset, code is 15, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Tag.Transition.Room.1.Room.2.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Tag.Transition.Start.asset, code is 15, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Tag.Transition.Start.asset.meta, code is 8, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Transition.Start (1).prefab, code is 265, comment is 0, blank is 0.
ARPG\Levels\Level.Playground.Oli\Transition.Start (1).prefab.meta, code is 7, comment is 0, blank is 0.
ARPG\Levels\Level.prefab, code is 46, comment is 0, blank is 0.
